title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin,complete_duration
DEATH NOTE,Death Note,TV,37.0,23.0,MANGA,FALL,Mystery;Psychological;Supernatural;Thriller,Crime;Detective;Anti-Hero;Male Protagonist;Police;Fugitive;Philosophy;Primarily Adult Cast;Kuudere;Gods,84.0,2006-10-04,JP,851.0
Death Parade,Death Parade,TV,12.0,23.0,ORIGINAL,WINTER,Drama;Mystery;Psychological;Supernatural;Thriller,Death Game;Philosophy;Amnesia;Memory Manipulation;Bar;Episodic;Primarily Adult Cast;Suicide;Gambling;Male Protagonist,80.0,2015-01-10,JP,276.0
Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion,TV,25.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Sci-Fi;Thriller,Anti-Hero;War;Military;Class Struggle;Politics;Super Power;Revenge;Terrorism;Male Protagonist;Real Robot,85.0,2006-10-06,JP,600.0
Guilty Crown,Guilty Crown,TV,22.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Psychological;Romance;Sci-Fi,Super Power;Terrorism;Dystopian;Pandemic;Post-Apocalyptic;Anti-Hero;Real Robot;Female Protagonist;Urban;Politics,69.0,2011-10-14,JP,528.0
Noragami,Noragami,TV,12.0,24.0,MANGA,WINTER,Action;Adventure;Comedy;Supernatural,Gods;Youkai;Urban Fantasy;Female Protagonist;Shounen;Mythology;Urban;Anti-Hero;Shapeshifting;Swordplay,77.0,2014-01-05,JP,288.0
Another,Another,TV,12.0,24.0,LIGHT_NOVEL,WINTER,Horror;Mystery;Psychological;Supernatural;Thriller,School;Gore;Memory Manipulation;Primarily Teen Cast;Urban Fantasy;Survival;Rural;Curses;Kuudere;Male Protagonist,70.0,2012-01-10,JP,288.0
No Game No Life,"No Game, No Life",TV,12.0,24.0,LIGHT_NOVEL,SPRING,Adventure;Comedy;Ecchi;Fantasy,Isekai;Gambling;Video Games;Hikikomori;Magic;Primarily Female Cast;Male Protagonist;Female Protagonist;Parody;Politics,77.0,2014-04-09,JP,288.0
CLAYMORE,Claymore,TV,26.0,23.0,MANGA,SPRING,Action;Adventure;Fantasy;Horror,Swordplay;Female Protagonist;Revenge;Primarily Female Cast;Gore;Demons;Kuudere;Primarily Adult Cast;Super Power;Tomboy,74.0,2007-04-04,JP,598.0
Black Clover,Black Clover,TV,170.0,24.0,MANGA,FALL,Action;Adventure;Comedy;Fantasy,Magic;Shounen;Found Family;Male Protagonist;Super Power;Ensemble Cast;Orphan;Revenge;Class Struggle;Demons,79.0,2017-10-03,JP,4080.0
Metal Fight Beyblade,Beyblade: Metal Fusion,TV,51.0,25.0,MANGA,SPRING,Adventure;Comedy;Sports,Male Protagonist;Kids;Proxy Battle;Battle Royale;CGI,68.0,2009-04-05,JP,1275.0
Bakugan Battle Brawlers,Bakugan Battle Brawlers,TV,52.0,24.0,ORIGINAL,SPRING,Action;Fantasy,Card Battle;Kaiju;Kids;Dragons;Primarily Child Cast;Proxy Battle;Dissociative Identities;Isekai;CGI,62.0,2007-04-05,JP,1248.0
K,K,TV,13.0,24.0,ORIGINAL,FALL,Action;Mystery;Supernatural,Gangs;Memory Manipulation;Super Power;Amnesia;Urban Fantasy;Shapeshifting;Urban;Revenge;Bar;Swordplay,71.0,2012-10-05,JP,312.0
Nanatsu no Taizai,The Seven Deadly Sins,TV,24.0,25.0,MANGA,FALL,Action;Adventure;Comedy;Ecchi;Fantasy;Supernatural,Ensemble Cast;Shounen;Magic;Demons;Male Protagonist;Heterosexual;Spearplay;Super Power;Swordplay;Anti-Hero,73.0,2014-10-05,JP,600.0
BTOOOM!,BTOOOM!,TV,12.0,24.0,MANGA,FALL,Action;Psychological;Sci-Fi,Battle Royale;Survival;Death Game;Video Games;Hikikomori;Gore;Seinen;Male Protagonist;Rape;Suicide,68.0,2012-10-04,JP,288.0
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,TV,13.0,25.0,LIGHT_NOVEL,FALL,Comedy;Drama;Mystery;Psychological;Romance;Supernatural,Urban Fantasy;Primarily Teen Cast;Male Protagonist;Heterosexual;Coming of Age;Primarily Female Cast;Memory Manipulation;Rehabilitation;Dissociative Identities;School,81.0,2018-10-04,JP,325.0
Shin Seiki Evangelion,Neon Genesis Evangelion,TV,26.0,24.0,ORIGINAL,FALL,Action;Drama;Mecha;Mystery;Psychological;Sci-Fi,Philosophy;Coming of Age;Super Robot;Denpa;Dystopian;Post-Apocalyptic;Angels;Psychosexual;Cosmic Horror;Kaiju,83.0,1995-10-03,JP,624.0
Shigatsu wa Kimi no Uso,Your lie in April,TV,22.0,23.0,MANGA,FALL,Drama;Music;Romance;Slice of Life,Classical Music;Primarily Teen Cast;Disability;Coming of Age;Rehabilitation;Male Protagonist;Shounen;Love Triangle;Female Protagonist;Heterosexual,84.0,2014-10-10,JP,506.0
Kimi no Na wa.,Your Name.,MOVIE,1.0,107.0,ORIGINAL,SUMMER,Drama;Romance;Supernatural,Urban Fantasy;Coming of Age;Memory Manipulation;Urban;Rural;Gender Bending;Heterosexual;Primarily Teen Cast;Environmental;Mythology,85.0,2016-08-26,JP,107.0
Hyouka,Hyouka,TV,22.0,26.0,LIGHT_NOVEL,SPRING,Mystery;Romance;Slice of Life,School Club;Detective;School;Male Protagonist;Primarily Teen Cast;Bowling;Coming of Age;Classic Literature;Episodic;Heterosexual,79.0,2012-04-23,JP,572.0
Plastic Memories,Plastic Memories,TV,13.0,24.0,ORIGINAL,SPRING,Drama;Romance;Sci-Fi;Slice of Life,Robots;Artificial Intelligence;Male Protagonist;Female Protagonist;Memory Manipulation;Kuudere;Urban;Work;Amnesia;Heterosexual,77.0,2015-04-05,JP,312.0
Angel Beats!,Angel Beats!,TV,13.0,24.0,ORIGINAL,SPRING,Action;Comedy;Drama;Supernatural,School;Amnesia;Primarily Teen Cast;Kuudere;Coming of Age;Memory Manipulation;Isekai;Boarding School;Male Protagonist;Ensemble Cast,77.0,2010-04-03,JP,312.0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,TV,11.0,22.0,ORIGINAL,SPRING,Drama;Romance;Slice of Life;Supernatural,Coming of Age;Ghost;Rehabilitation;Hikikomori;Love Triangle;Male Protagonist;Found Family;Rural;Primarily Teen Cast;Heterosexual,80.0,2011-04-15,JP,242.0
Seikaisuru Kado,KADO: The Right Answer,TV,13.0,24.0,ORIGINAL,SPRING,Sci-Fi;Supernatural;Thriller,Aliens;Politics;Philosophy;Full CGI;Urban;CGI;Primarily Adult Cast;Male Protagonist;Economics;Tsundere,64.0,2017-04-06,JP,312.0
serial experiments lain,Serial Experiments Lain,TV,13.0,23.0,ORIGINAL,SUMMER,Drama;Mystery;Psychological;Sci-Fi;Supernatural,Denpa;Virtual World;Philosophy;Dissociative Identities;Augmented Reality;Female Protagonist;Memory Manipulation;Artificial Intelligence;Software Development;Cyberpunk,80.0,1998-07-06,JP,299.0
MONSTER,Monster,TV,74.0,24.0,MANGA,SPRING,Drama;Horror;Mystery;Psychological;Thriller,Crime;Seinen;Detective;Philosophy;Ensemble Cast;Fugitive;Primarily Adult Cast;Noir;Twins;Memory Manipulation,88.0,2004-04-07,JP,1776.0
Overlord,Overlord,TV,13.0,24.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Fantasy,Isekai;Anti-Hero;Skeleton;Virtual World;Magic;Medieval;Male Protagonist;Kingdom Management;Ensemble Cast;Demons,76.0,2015-07-07,JP,312.0
Steins;Gate,Steins;Gate,TV,24.0,24.0,VISUAL_NOVEL,SPRING,Drama;Psychological;Sci-Fi;Thriller,Time Loop;Conspiracy;Memory Manipulation;Male Protagonist;Urban;Dystopian;Primarily Adult Cast;Denpa;Philosophy;Dissociative Identities,89.0,2011-04-06,JP,576.0
Shingeki no Kyojin,Attack on Titan,TV,25.0,24.0,MANGA,SPRING,Action;Drama;Fantasy;Mystery,Kaiju;Revenge;Military;Post-Apocalyptic;Primarily Teen Cast;Super Power;Male Protagonist;Henshin;Gore;Swordplay,85.0,2013-04-07,JP,600.0
Tenki no Ko,Weathering With You,MOVIE,1.0,115.0,ORIGINAL,SUMMER,Drama;Romance;Slice of Life;Supernatural,Urban Fantasy;Urban;Orphan;Environmental;Female Protagonist;Male Protagonist;Fugitive;Family Life;Heterosexual;Found Family,81.0,2019-07-19,JP,115.0
Carole & Tuesday,Carole & Tuesday,TV,24.0,24.0,ORIGINAL,SPRING,Drama;Music;Sci-Fi,Band;Female Protagonist;Cyberpunk;Artificial Intelligence;Urban;Politics;Tanned Skin;Foreign;Dystopian;Post-Apocalyptic,76.0,2019-04-10,JP,576.0
Akame ga Kill!,Akame ga Kill!,TV,24.0,24.0,MANGA,SUMMER,Action;Adventure;Drama;Fantasy;Horror;Psychological;Thriller,Assassins;Shounen;Politics;Gore;Crime;Swordplay;Henshin;Super Power;Anti-Hero;Female Protagonist,72.0,2014-07-07,JP,576.0
Sword Art Online,Sword Art Online,TV,25.0,23.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Fantasy;Romance,Virtual World;Death Game;Isekai;Video Games;Male Protagonist;Swordplay;Primarily Teen Cast;Heterosexual;Rescue;Primarily Female Cast,69.0,2012-07-08,JP,575.0
Dororo,Dororo,TV,24.0,24.0,MANGA,WINTER,Action;Adventure;Drama;Supernatural,Demons;Revenge;Disability;Swordplay;Samurai;Youkai;Estranged Family;Anti-Hero;Orphan;War,81.0,2019-01-07,JP,576.0
Rail Wars!,Rail Wars!,TV,12.0,24.0,LIGHT_NOVEL,SUMMER,Action;Ecchi;Romance,Trains;Police;Male Protagonist;Work;Heterosexual;Cute Girls Doing Cute Things;Nudity;Female Harem;Primarily Female Cast;Guns,59.0,2014-07-04,JP,288.0
Hachigatsu no Cinderella Nine,Cinderella Nine,TV,12.0,24.0,VIDEO_GAME,SPRING,Slice of Life;Sports,Baseball;School Club;Female Protagonist;School;Primarily Female Cast;Idol,56.0,2019-04-08,JP,288.0
Kakegurui,Kakegurui,TV,12.0,25.0,MANGA,SUMMER,Drama;Mystery;Psychological,Gambling;Female Protagonist;School;Primarily Female Cast;Masochism;Primarily Teen Cast;Ojou-sama;Body Horror;Poker;Anti-Hero,70.0,2017-07-01,JP,300.0
Ao no Exorcist,Blue Exorcist,TV,25.0,24.0,MANGA,SPRING,Action;Fantasy;Supernatural,Demons;Shounen;Super Power;Youkai;Male Protagonist;Twins;Exorcism;Religion;Urban Fantasy;Primarily Teen Cast,72.0,2011-04-17,JP,600.0
AMNESIA,AMNESIA,TV,12.0,23.0,VISUAL_NOVEL,WINTER,Fantasy;Mystery;Romance,Male Harem;Amnesia;Female Protagonist;Primarily Male Cast;Ensemble Cast;Urban;Work;Primarily Adult Cast;Heterosexual;Yandere,53.0,2013-01-07,JP,276.0
Go-toubun no Hanayome,The Quintessential Quintuplets,TV,12.0,24.0,MANGA,WINTER,Comedy;Drama;Romance;Slice of Life,Twins;Female Harem;Heterosexual;Male Protagonist;Primarily Teen Cast;School;Primarily Female Cast;Teacher;Ensemble Cast;Tsundere,75.0,2019-01-11,JP,288.0
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,TV,64.0,25.0,MANGA,SPRING,Action;Adventure;Drama;Fantasy,Alchemy;Conspiracy;Military;War;Shounen;Politics;Male Protagonist;Philosophy;Ensemble Cast;Coming of Age,90.0,2009-04-05,JP,1600.0
Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,TV,26.0,24.0,MANGA,SPRING,Action;Adventure;Drama;Fantasy;Supernatural,Demons;Shounen;Swordplay;Male Protagonist;Vampire;Primarily Teen Cast;Travel;Monster Girl;Revenge;Orphan,82.0,2019-04-06,JP,624.0
"Kimi to, Nami ni Noretara",Ride Your Wave,MOVIE,1.0,94.0,ORIGINAL,SPRING,Drama;Fantasy;Romance,Surfing;Female Protagonist;Coming of Age;Ghost;Coastal;Heterosexual;Swimming;Urban Fantasy;Primarily Adult Cast;Firefighters,75.0,2019-06-21,JP,94.0
Assassins Pride,ASSASSINS PRIDE,TV,12.0,24.0,LIGHT_NOVEL,FALL,Action;Comedy;Drama;Fantasy;Mystery;Romance,Magic;Assassins;Primarily Female Cast;Male Protagonist;Vampire;Swordplay;Steampunk;Bullying;Battle Royale;Female Protagonist,57.0,2019-10-10,JP,288.0
Babylon,BABYLON,TV,12.0,23.0,OTHER,FALL,Drama;Mystery;Psychological;Thriller,Suicide;Urban Fantasy;Police;Philosophy;Urban;Male Protagonist;Conspiracy;Politics;Crime;Primarily Adult Cast,64.0,2019-10-07,JP,276.0
Mahou Shoujo Site,MAGICAL GIRL SITE,TV,12.0,25.0,MANGA,SPRING,Action;Drama;Horror;Mahou Shoujo;Psychological;Supernatural,Magic;Female Protagonist;Bullying;Primarily Female Cast;Revenge;Battle Royale;Witch;Yuri;Primarily Teen Cast;Urban Fantasy,60.0,2018-04-07,JP,300.0
Yakusoku no Neverland,The Promised Neverland,TV,12.0,23.0,MANGA,WINTER,Drama;Fantasy;Horror;Mystery;Psychological;Thriller,Dystopian;Survival;Primarily Child Cast;Orphan;Found Family;Demons;Coming of Age;Female Protagonist;Gore;Ensemble Cast,83.0,2019-01-10,JP,276.0
Charlotte,,TV,13.0,24.0,ORIGINAL,SUMMER,Comedy;Drama;Romance;Sci-Fi;Supernatural,Super Power;Urban Fantasy;Primarily Teen Cast;Male Protagonist;Urban;School Club;School;Amnesia;Tsundere;Dissociative Identities,75.0,2015-07-05,JP,312.0
Made in Abyss,Made in Abyss,TV,13.0,25.0,MANGA,SUMMER,Adventure;Drama;Fantasy;Horror;Mystery;Sci-Fi,Survival;Outdoor Activities;Primarily Child Cast;Environmental;Travel;Chibi;Body Horror;Lost Civilization;Dungeon;Philosophy,85.0,2017-07-07,JP,325.0
Fate/Apocrypha,Fate/Apocrypha,TV,25.0,24.0,LIGHT_NOVEL,SUMMER,Action;Drama;Fantasy;Supernatural,Battle Royale;Urban Fantasy;Mythology;War;Magic;Spearplay;Religion;Dissociative Identities;Crossdressing;Foreign,69.0,2017-07-02,JP,600.0
Pocket Monsters,Pokémon,TV,276.0,24.0,VIDEO_GAME,SPRING,Action;Adventure;Comedy;Fantasy,Proxy Battle;Travel;Creature Taming;Animals;Primarily Child Cast;Kids;Episodic;Male Protagonist;Slavery;Slapstick,72.0,1997-04-01,JP,6624.0
91Days,91 Days,TV,12.0,24.0,ORIGINAL,SUMMER,Action;Drama;Psychological,Revenge;Mafia;Crime;Male Protagonist;Gangs;Anti-Hero;Noir;Foreign;Guns;Assassins,76.0,2016-07-09,JP,288.0
Mirai Nikki,The Future Diary,TV,26.0,23.0,MANGA,FALL,Action;Horror;Mystery;Psychological;Supernatural;Thriller,Battle Royale;Death Game;Survival;Yandere;Psychosexual;Slapstick;Body Horror;Gore;Gods;Male Protagonist,68.0,2011-10-09,JP,598.0
Shiki,Shiki,TV,22.0,23.0,OTHER,SUMMER,Horror;Mystery;Supernatural;Thriller,Vampire;Survival;Rural;Anti-Hero;Ensemble Cast;Philosophy;Denpa;Zombie;Gore;Urban Fantasy,75.0,2010-07-09,JP,506.0
B: The Beginning,B: The Beginning,ONA,12.0,26.0,ORIGINAL,WINTER,Action;Mystery;Psychological;Supernatural;Thriller,Police;Crime;Revenge;Detective;Primarily Adult Cast;Fugitive;Terrorism;Amnesia;Body Horror;Foreign,69.0,2018-03-02,JP,312.0
ID: INVADED,ID: INVADED,TV,13.0,25.0,ORIGINAL,WINTER,Drama;Mystery;Psychological;Sci-Fi;Thriller,Detective;Virtual World;Crime;Police;Memory Manipulation;Augmented Reality;Urban Fantasy;Prison;Primarily Adult Cast;Male Protagonist,77.0,2020-01-06,JP,325.0
pet,pet,TV,13.0,24.0,MANGA,WINTER,Drama;Psychological;Supernatural,Memory Manipulation;Primarily Adult Cast;Super Power;Gangs;Seinen;Triads;Disability;Primarily Male Cast;Mafia;Urban,59.0,2020-01-06,JP,312.0
Darwin's Game,Darwin's Game,TV,11.0,24.0,MANGA,WINTER,Action;Mystery;Sci-Fi;Thriller,Death Game;Survival;Super Power;Battle Royale;Male Protagonist;Yandere;Shounen;Urban;Gangs;Gore,70.0,2020-01-04,JP,264.0
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",TV,12.0,24.0,LIGHT_NOVEL,WINTER,Action;Adventure;Comedy;Fantasy;Slice of Life,Video Games;Virtual World;Female Protagonist;Cute Girls Doing Cute Things;Primarily Female Cast;Magic;Henshin;Parody;Animals;Swordplay,74.0,2020-01-08,JP,288.0
Jibaku Shounen Hanako-kun,Toilet-bound Hanako-kun,TV,12.0,24.0,MANGA,WINTER,Action;Comedy;Drama;Mystery;Supernatural,Ghost;Youkai;Mythology;School;Female Protagonist;Primarily Teen Cast;Male Protagonist;Urban Fantasy;Twins;Episodic,77.0,2020-01-10,JP,288.0
Infinite Dendrogram,Infinite Dendrogram,TV,13.0,24.0,LIGHT_NOVEL,WINTER,Action;Adventure;Fantasy,Virtual World;Isekai;Video Games;Artificial Intelligence;Male Protagonist;Shapeshifting;Magic;Chimera;Real Robot;Crossdressing,59.0,2020-01-09,JP,312.0
Arte,Arte,TV,12.0,24.0,MANGA,SPRING,Drama;Romance;Slice of Life,Drawing;Female Protagonist;Historical;Foreign;Work;Coming of Age;Primarily Adult Cast;Seinen;Medieval;Educational,69.0,2020-04-04,JP,288.0
Gleipnir,Gleipnir,TV,13.0,24.0,MANGA,SPRING,Action;Ecchi;Mystery;Supernatural,Aliens;Shapeshifting;Memory Manipulation;Primarily Teen Cast;Anti-Hero;Urban Fantasy;Psychosexual;Death Game;Gore;Body Horror,66.0,2020-04-05,JP,312.0
"Hachi-nan tte, Sore wa Nai deshou!",The 8th Son? Are You Kidding Me?,TV,12.0,24.0,LIGHT_NOVEL,SPRING,Adventure;Fantasy,Magic;Male Protagonist;Isekai;Martial Arts;Politics;Female Harem;Conspiracy;Dragons;CGI;Kingdom Management,61.0,2020-04-02,JP,288.0
Kami no Tou: Tower of God,Tower of God,TV,13.0,25.0,MANGA,SPRING,Action;Adventure;Drama;Fantasy;Mystery,Super Power;Male Protagonist;Survival;Conspiracy;Magic;Ensemble Cast;Cultivation;Shounen;Battle Royale;Revenge,74.0,2020-04-02,JP,325.0
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,My Next Life as a Villainess: All Routes Lead to Doom!,TV,12.0,25.0,LIGHT_NOVEL,SPRING,Comedy;Fantasy;Romance;Slice of Life,Mixed Gender Harem;Isekai;Female Protagonist;Villainess;Ensemble Cast;Ojou-sama;Maids;Medieval;Bisexual;Royal Affairs,73.0,2020-04-05,JP,300.0
Princess Connect! Re:Dive,Princess Connect! Re:Dive,TV,13.0,24.0,VIDEO_GAME,SPRING,Adventure;Comedy;Fantasy,Primarily Female Cast;Food;Cute Girls Doing Cute Things;Memory Manipulation;Magic;Elf;Amnesia;Ensemble Cast;Nekomimi;Kemonomimi,69.0,2020-04-07,JP,312.0
Yesterday wo Utatte,"SING ""YESTERDAY"" FOR ME",TV,12.0,23.0,MANGA,SPRING,Drama;Romance;Slice of Life,Love Triangle;Coming of Age;Heterosexual;Primarily Adult Cast;Konbini;Seinen;Unrequited Love;Male Protagonist;Urban;Work,67.0,2020-04-05,JP,276.0
NARUTO,Naruto,TV,220.0,23.0,MANGA,FALL,Action;Adventure;Comedy;Drama;Fantasy;Supernatural,Ninja;Shounen;Coming of Age;Male Protagonist;Super Power;Orphan;Cultivation;Martial Arts;Revenge;Found Family,80.0,2002-10-03,JP,5060.0
BORUTO: NARUTO NEXT GENERATIONS,Boruto: Naruto Next Generations,TV,293.0,24.0,MANGA,SPRING,Action;Adventure;Fantasy,Shounen;Ninja;Super Power;Male Protagonist;Primarily Child Cast;Swordplay;Battle Royale;Gods;Martial Arts;Aliens,56.0,2017-04-05,JP,7032.0
Prison School,Prison School,TV,12.0,24.0,MANGA,SUMMER,Comedy;Ecchi,School;Surreal Comedy;Prison;Parody;Nudity;Male Protagonist;Large Breasts;Heterosexual;Slapstick;Ensemble Cast,73.0,2015-07-11,JP,288.0
Byousoku 5 Centimeter,5 Centimeters per Second,MOVIE,3.0,22.0,ORIGINAL,WINTER,Drama;Romance;Slice of Life,Coming of Age;Heterosexual;Unrequited Love;Denpa;Travel;Trains;Male Protagonist;Female Protagonist;School;Surfing,71.0,2007-02-11,JP,66.0
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,Corpse Party,OVA,4.0,29.0,VIDEO_GAME,SUMMER,Horror;Mystery;Supernatural,Ghost;Gore;School;Isekai;Body Horror;Memory Manipulation;Primarily Teen Cast;Skeleton;Female Protagonist;Ensemble Cast,59.0,2013-07-24,JP,116.0
Himouto! Umaru-chan,Himouto! Umaru-chan,TV,12.0,24.0,MANGA,SUMMER,Comedy;Slice of Life,Otaku Culture;Chibi;Cute Girls Doing Cute Things;Family Life;Female Protagonist;Primarily Female Cast;Urban;Ensemble Cast;Parody;School,67.0,2015-07-09,JP,288.0
Zetsuen no Tempest,Blast of Tempest,TV,24.0,24.0,MANGA,FALL,Action;Drama;Fantasy;Mystery;Romance,Urban Fantasy;Revenge;Magic;Love Triangle;Anti-Hero;Heterosexual;Classic Literature;Male Protagonist;Suicide;Shounen,76.0,2012-10-05,JP,576.0
School Days (TV),School Days (TV),TV,12.0,25.0,VISUAL_NOVEL,SUMMER,Drama;Psychological;Romance,Netorare;Love Triangle;Hypersexuality;Female Harem;School;Male Protagonist;Yandere;Heterosexual;Cheating;Primarily Teen Cast,49.0,2007-07-04,JP,300.0
CONCEPTION,Conception,TV,12.0,24.0,VIDEO_GAME,FALL,Action;Adventure;Fantasy;Romance,Female Harem;Isekai;Heterosexual;Incest;Primarily Female Cast;Parody;Primarily Child Cast;Meta;Animals;Monster Girl,39.0,2018-10-10,JP,288.0
"Maou-sama, Retry!","Demon Lord, Retry!",TV,12.0,24.0,LIGHT_NOVEL,SUMMER,Action;Adventure;Comedy;Fantasy,Isekai;Male Protagonist;Magic;Demons;Anti-Hero;Parody;Female Harem;Primarily Female Cast;Shapeshifting;Crossdressing,62.0,2019-07-04,JP,288.0
Pan de Peace!,,TV_SHORT,13.0,3.0,MANGA,SPRING,Comedy;Slice of Life,Cute Girls Doing Cute Things;Food;Primarily Female Cast;School;Seinen;Female Protagonist;Chuunibyou,53.0,2016-04-03,JP,39.0
Watashi ni Tenshi ga Maiorita!,WATATEN!: an Angel Flew Down to Me,TV,12.0,24.0,MANGA,WINTER,Comedy;Slice of Life,Female Protagonist;Cute Girls Doing Cute Things;Primarily Female Cast;Primarily Child Cast;Cosplay;Family Life;Yuri;Hikikomori;School;Food,70.0,2019-01-08,JP,288.0
Phantom: Requiem for the Phantom,Phantom: Requiem for the Phantom,TV,26.0,24.0,VISUAL_NOVEL,SPRING,Action;Drama;Thriller,Amnesia;Anti-Hero;Assassins;Noir;Mafia;Coming of Age;Crime;Guns;Memory Manipulation;Heterosexual,75.0,2009-04-03,JP,624.0
